"","chr","SNPid","physPos","linkMapPos"
"Chr01_00279482","Chr01","Chr01_00279482",279482,0.490246731236793
"Chr01_00289806","Chr01","Chr01_00289806",289806,0.508414250120348
"Chr01_00297528","Chr01","Chr01_00297528",297528,0.522002934818025
"Chr01_00434080","Chr01","Chr01_00434080",434080,0.762298463545969
"Chr01_00446092","Chr01","Chr01_00446092",446092,0.783436417520133
"Chr01_00583849","Chr01","Chr01_00583849",583849,1.02585242864392
"Chr01_00592155","Chr01","Chr01_00592155",592155,1.0404687994156
"Chr01_00754442","Chr01","Chr01_00754442",754442,1.32605114512032
"Chr01_00810900","Chr01","Chr01_00810900",810900,1.42540234437718
"Chr01_00820295","Chr01","Chr01_00820295",820295,1.44193506811905
"Chr01_00856939","Chr01","Chr01_00856939",856939,1.50641884978981
"Chr01_00886550","Chr01","Chr01_00886550",886550,1.55852640516186
"Chr01_00958185","Chr01","Chr01_00958185",958185,1.68458512418777
"Chr01_00991082","Chr01","Chr01_00991082",991082,1.7424751734625
"Chr01_01007067","Chr01","Chr01_01007067",1007067,1.77060456026545
"Chr01_01022951","Chr01","Chr01_01022951",1022951,1.79855621368916
"Chr01_01239760","Chr01","Chr01_01239760",1239760,2.18008290892597
"Chr01_01266941","Chr01","Chr01_01266941",1266941,2.22791430477776
"Chr01_01277349","Chr01","Chr01_01277349",1277349,2.24622964152128
"Chr01_01322774","Chr01","Chr01_01322774",1322774,2.32616566876706
"Chr01_01466212","Chr01","Chr01_01466212",1466212,2.57857874253881
"Chr01_01495237","Chr01","Chr01_01495237",1495237,2.62965509236399
"Chr01_01700257","Chr01","Chr01_01700257",1700257,2.9904362548501
"Chr01_01779453","Chr01","Chr01_01779453",1779453,3.12980034100876
"Chr01_01796206","Chr01","Chr01_01796206",1796206,3.15928120538848
"Chr01_01815598","Chr01","Chr01_01815598",1815598,3.19340601420192
"Chr01_01880979","Chr01","Chr01_01880979",1880979,3.30845934160658
"Chr01_01892985","Chr01","Chr01_01892985",1892985,3.32958673716218
"Chr01_01902198","Chr01","Chr01_01902198",1902198,3.34579918887413
"Chr01_01932496","Chr01","Chr01_01932496",1932496,3.39911568317227
"Chr01_02140693","Chr01","Chr01_02140693",2140693,3.7654875282904
"Chr01_02182955","Chr01","Chr01_02182955",2182955,3.83985750921416
"Chr01_02195631","Chr01","Chr01_02195631",2195631,3.86216392817657
"Chr01_02262383","Chr01","Chr01_02262383",2262383,3.97962985422414
"Chr01_02342860","Chr01","Chr01_02342860",2342860,4.12124816274718
"Chr01_02477768","Chr01","Chr01_02477768",2477768,4.35865068478735
"Chr01_02555518","Chr01","Chr01_02555518",2555518,4.49547019207101
"Chr01_02600302","Chr01","Chr01_02600302",2600302,4.57427822826639
"Chr01_02601661","Chr01","Chr01_02601661",2601661,4.57666971007216
"Chr01_02727768","Chr01","Chr01_02727768",2727768,4.79858479180875
"Chr01_02898330","Chr01","Chr01_02898330",2898330,5.09872895645589
"Chr01_02917565","Chr01","Chr01_02917565",2917565,5.13257748665011
"Chr01_02923414","Chr01","Chr01_02923414",2923414,5.14287018501798
"Chr01_03030583","Chr01","Chr01_03030583",3030583,5.33145937827949
"Chr01_03205217","Chr01","Chr01_03205217",3205217,5.63876918966179
"Chr01_03392781","Chr01","Chr01_03392781",3392781,5.96883239305923
"Chr01_03460607","Chr01","Chr01_03460607",3460607,6.08818827603057
"Chr01_03483410","Chr01","Chr01_03483410",3483410,6.1283155458002
"Chr01_03492519","Chr01","Chr01_03492519",3492519,6.14434498492363
"Chr01_03573953","Chr01","Chr01_03573953",3573953,6.28764736120836
"Chr01_03724373","Chr01","Chr01_03724373",3724373,6.55234691472099
"Chr01_03815032","Chr01","Chr01_03815032",3815032,6.7118828595548
"Chr01_03815573","Chr01","Chr01_03815573",3815573,6.7128348769624
"Chr01_03818716","Chr01","Chr01_03818716",3818716,6.71836572855587
"Chr01_03916297","Chr01","Chr01_03916297",3916297,6.89008256894489
"Chr01_04032348","Chr01","Chr01_04032348",4032348,7.09430174116065
"Chr01_04124666","Chr01","Chr01_04124666",4124666,7.25675708872866
"Chr01_04137900","Chr01","Chr01_04137900",4137900,7.28004544061794
"Chr01_04161515","Chr01","Chr01_04161515",4161515,7.32160161636718
"Chr01_04221856","Chr01","Chr01_04221856",4221856,7.42778587217429
"Chr01_04225980","Chr01","Chr01_04225980",4225980,7.43504302520372
"Chr01_04314187","Chr01","Chr01_04314187",4314187,7.59026409631586
"Chr01_04316514","Chr01","Chr01_04316514",4316514,7.59435900298402
"Chr01_04350453","Chr01","Chr01_04350453",4350453,7.65408269761682
"Chr01_04450798","Chr01","Chr01_04450798",4450798,7.83066344949307
"Chr01_04525214","Chr01","Chr01_04525214",4525214,7.96161599552548
"Chr01_04547579","Chr01","Chr01_04547579",4547579,8.00097250073962
"Chr01_04590938","Chr01","Chr01_04590938",4590938,8.07727291252498
"Chr01_04704243","Chr01","Chr01_04704243",4704243,8.27665984850922
"Chr01_05201959","Chr01","Chr01_05201959",5201959,9.15250882455027
"Chr01_05293384","Chr01","Chr01_05293384",5293384,9.31339272748799
"Chr01_05362375","Chr01","Chr01_05362375",5362375,9.43479870339804
"Chr01_05545830","Chr01","Chr01_05545830",5545830,9.75763114981249
"Chr01_05681813","Chr01","Chr01_05681813",5681813,9.99692538851285
"Chr01_05749457","Chr01","Chr01_05749457",5749457,10.1159609994543
"Chr01_05769137","Chr01","Chr01_05769137",5769137,10.150592612359
"Chr01_05783607","Chr01","Chr01_05783607",5783607,10.1760559984734
"Chr01_05962501","Chr01","Chr01_05962501",5962501,10.4908622870393
"Chr01_06747631","Chr01","Chr01_06747631",6747631,11.8724841488222
"Chr01_06998452","Chr01","Chr01_06998452",6998452,12.313862999451
"Chr01_07039275","Chr01","Chr01_07039275",7039275,12.3857007196548
"Chr01_07099969","Chr01","Chr01_07099969",7099969,12.492506162421
"Chr01_07327259","Chr01","Chr01_07327259",7327259,12.8924766551606
"Chr01_07506516","Chr01","Chr01_07506516",7506516,13.2079217280499
"Chr01_07520669","Chr01","Chr01_07520669",7520669,13.2328272777166
"Chr01_07543595","Chr01","Chr01_07543595",7543595,13.2731709950669
"Chr01_08684773","Chr01","Chr01_08684773",8684773,15.2813434925968
"Chr01_08952245","Chr01","Chr01_08952245",8952245,15.7520237144897
"Chr01_09062058","Chr01","Chr01_09062058",9062058,15.945265650867
"Chr01_11649517","Chr01","Chr01_11649517",11649517,20.4985115093449
"Chr01_13331795","Chr01","Chr01_13331795",13331795,23.4588773881119
"Chr01_13436678","Chr01","Chr01_13436678",13436678,23.6434438238988
"Chr01_15183551","Chr01","Chr01_15183551",15183551,26.717479877238
"Chr01_15637910","Chr01","Chr01_15637910",15637910,27.5170319609665
"Chr01_16173705","Chr01","Chr01_16173705",16173705,28.4598899404526
"Chr01_16207682","Chr01","Chr01_16207682",16207682,28.5196805050697
"Chr01_18314793","Chr01","Chr01_18314793",18314793,32.2276404897896
"Chr01_18697817","Chr01","Chr01_18697817",18697817,32.9016617754206
"Chr01_18787841","Chr01","Chr01_18787841",18787841,33.0600802876226
"Chr01_20963125","Chr01","Chr01_20963125",20963125,36.8880067838543
"Chr01_21026590","Chr01","Chr01_21026590",21026590,36.9996884562628
"Chr01_21349799","Chr01","Chr01_21349799",21349799,37.5684511074479
"Chr01_23889021","Chr01","Chr01_23889021",23889021,42.0368125598442
"Chr01_24414059","Chr01","Chr01_24414059",24414059,42.9607410545734
"Chr01_25607266","Chr01","Chr01_25607266",25607266,45.0604708787202
"Chr01_27222942","Chr01","Chr01_27222942",27222942,47.9036347919038
"Chr01_27564548","Chr01","Chr01_27564548",27564548,48.5047713141564
"Chr01_30257074","Chr01","Chr01_30257074",30257074,53.242907399924
"Chr01_30672287","Chr01","Chr01_30672287",30672287,53.9735728414387
"Chr01_31764287","Chr01","Chr01_31764287",31764287,55.8952050209081
"Chr01_32679892","Chr01","Chr01_32679892",32679892,57.5064284931454
"Chr01_32943760","Chr01","Chr01_32943760",32943760,57.9707666249515
"Chr01_33598848","Chr01","Chr01_33598848",33598848,59.1235488421533
"Chr01_34764735","Chr01","Chr01_34764735",34764735,61.1752026670847
"Chr01_35299652","Chr01","Chr01_35299652",35299652,62.1165155979869
"Chr01_35307373","Chr01","Chr01_35307373",35307373,62.1301025229482
"Chr01_35851333","Chr01","Chr01_35851333",35851333,63.0873287503696
"Chr01_36145218","Chr01","Chr01_36145218",36145218,63.6044888905376
"Chr01_37080500","Chr01","Chr01_37080500",37080500,65.2503386964703
"Chr01_37484340","Chr01","Chr01_37484340",37484340,65.9609906555884
"Chr01_37921117","Chr01","Chr01_37921117",37921117,66.7296030534383
"Chr01_39283488","Chr01","Chr01_39283488",39283488,69.1270169307057
"Chr01_40970051","Chr01","Chr01_40970051",40970051,72.0949232800671
"Chr01_43151134","Chr01","Chr01_43151134",43151134,75.9330544878453
"Chr01_43225309","Chr01","Chr01_43225309",43225309,76.0635829373985
"Chr01_43905253","Chr01","Chr01_43905253",43905253,77.2601051632567
"Chr01_44355283","Chr01","Chr01_44355283",44355283,78.0520393479881
"Chr01_45597550","Chr01","Chr01_45597550",45597550,80.2381018412967
"Chr01_45931540","Chr01","Chr01_45931540",45931540,80.825836210913
"Chr01_46675211","Chr01","Chr01_46675211",46675211,82.1345011601238
"Chr01_47653309","Chr01","Chr01_47653309",47653309,83.8556958409615
"Chr01_47867666","Chr01","Chr01_47867666",47867666,84.2329076624766
"Chr01_48455901","Chr01","Chr01_48455901",48455901,85.2680462202516
"Chr01_48686468","Chr01","Chr01_48686468",48686468,85.673783369266
"Chr01_48778626","Chr01","Chr01_48778626",48778626,85.8359571590055
"Chr01_48791080","Chr01","Chr01_48791080",48791080,85.8578729164809
"Chr01_48833196","Chr01","Chr01_48833196",48833196,85.9319859758861
"Chr01_48835523","Chr01","Chr01_48835523",48835523,85.9360808825543
"Chr01_48949341","Chr01","Chr01_48949341",48949341,86.1363705633261
"Chr01_48978006","Chr01","Chr01_48978006",48978006,86.1868134080372
"Chr01_49247884","Chr01","Chr01_49247884",49247884,86.6617275557761
"Chr01_49295040","Chr01","Chr01_49295040",49295040,86.7447096867789
"Chr01_49556063","Chr01","Chr01_49556063",49556063,87.2040413684471
"Chr01_49599878","Chr01","Chr01_49599878",49599878,87.2811442200436
"Chr01_49635587","Chr01","Chr01_49635587",49635587,87.3439826481541
"Chr01_49773049","Chr01","Chr01_49773049",49773049,87.5858795370316
"Chr01_49775560","Chr01","Chr01_49775560",49775560,87.5902982352026
"Chr01_49870839","Chr01","Chr01_49870839",49870839,87.7579641623341
"Chr01_50006257","Chr01","Chr01_50006257",50006257,87.9962641499526
"Chr01_50074710","Chr01","Chr01_50074710",50074710,88.1167233876644
"Chr01_50102969","Chr01","Chr01_50102969",50102969,88.1664517793856
"Chr01_50111341","Chr01","Chr01_50111341",50111341,88.1811842927616
"Chr01_50136013","Chr01","Chr01_50136013",50136013,88.2246005099153
"Chr01_50143577","Chr01","Chr01_50143577",50143577,88.2379111562573
"Chr01_50205898","Chr01","Chr01_50205898",50205898,88.3475796901921
"Chr01_50213025","Chr01","Chr01_50213025",50213025,88.360121331715
"Chr01_50294917","Chr01","Chr01_50294917",50294917,88.5042296672838
