"","V1","V2","V3"
"Chr01_00279482",0,0,0
"Chr01_00289806",0,0,0
"Chr01_00297528",0,0,0
"Chr01_00434080",-0.183865437053512,0,0
"Chr01_00446092",0,0,0
"Chr01_00583849",0,0,0
"Chr01_00592155",-0.0559900459464471,0,0
"Chr01_00754442",0,0,0
"Chr01_00810900",0,0,0
"Chr01_00820295",0,0,0
"Chr01_00856939",0,0,0
"Chr01_00886550",0,0,0
"Chr01_00958185",0,0,0
"Chr01_00991082",0,0,0
"Chr01_01007067",0,0,0
"Chr01_01022951",0,0,0
"Chr01_01239760",0,0,0
"Chr01_01266941",0,0,0
"Chr01_01277349",0,0,0
"Chr01_01322774",0,0,0.030027199525563
"Chr01_01466212",0,0,0
"Chr01_01495237",0,0,0
"Chr01_01700257",0,0,0
"Chr01_01779453",0,0,0
"Chr01_01796206",0,0,0
"Chr01_01815598",0,0,0
"Chr01_01880979",0,0,0
"Chr01_01892985",0,0,0
"Chr01_01902198",0,0,0
"Chr01_01932496",0,0,0
"Chr01_02140693",0,0,0
"Chr01_02182955",0,0,0
"Chr01_02195631",0,0,0
"Chr01_02262383",0,0,0
"Chr01_02342860",0,0,0
"Chr01_02477768",0,0,0
"Chr01_02555518",0,0,0
"Chr01_02600302",-0.227118463653649,0,0
"Chr01_02601661",0,0,0
"Chr01_02727768",0,0,0.0767710149461181
"Chr01_02898330",0,0,0
"Chr01_02917565",0,0,0
"Chr01_02923414",0,0,0
"Chr01_03030583",0,0,0
"Chr01_03205217",0,0,0
"Chr01_03392781",0,0,0
"Chr01_03460607",0,0,0
"Chr01_03483410",0.105119833205175,0,0
"Chr01_03492519",0,0,0
"Chr01_03573953",0,0,0
"Chr01_03724373",0,0,0
"Chr01_03815032",0,0,0
"Chr01_03815573",0,0,0
"Chr01_03818716",0,0,0
"Chr01_03916297",0,0,0
"Chr01_04032348",0,0,0
"Chr01_04124666",0,0,0
"Chr01_04137900",0,0,0
"Chr01_04161515",0,0,0
"Chr01_04221856",0,0,0
"Chr01_04225980",0,0,0
"Chr01_04314187",0,0,0
"Chr01_04316514",0,0,0
"Chr01_04350453",0,0,0
"Chr01_04450798",0,0,0
"Chr01_04525214",0,0,0
"Chr01_04547579",0,0,0
"Chr01_04590938",0,0,0
"Chr01_04704243",0,0,0
"Chr01_05201959",0,0,0
"Chr01_05293384",-0.0998712578447559,0,0
"Chr01_05362375",0,0,0
"Chr01_05545830",0,0,0
"Chr01_05681813",0,0,0
"Chr01_05749457",0,-0.459711332268822,0
"Chr01_05769137",0,0,0
"Chr01_05783607",0,0,0
"Chr01_05962501",0,0,0
"Chr01_06747631",0,0.0458317289393436,0
"Chr01_06998452",0,-0.0423249328916808,0
"Chr01_07039275",0,0,0
"Chr01_07099969",0,0,0
"Chr01_07327259",0,0,0
"Chr01_07506516",0,0,0
"Chr01_07520669",0,0,0
"Chr01_07543595",0,0,0
"Chr01_08684773",0,0,0.160460334918115
"Chr01_08952245",0,0,0
"Chr01_09062058",0.158480294698876,0,0
"Chr01_11649517",0,0,-0.181010795404168
"Chr01_13331795",0,0,0
"Chr01_13436678",0,0,0
"Chr01_15183551",0,0,0
"Chr01_15637910",-0.215874850151863,0,0
"Chr01_16173705",0,0,0
"Chr01_16207682",0,0,-0.177521358289647
"Chr01_18314793",0,0,0
"Chr01_18697817",0,0,0
"Chr01_18787841",0,0.288282272855586,0
"Chr01_20963125",0,0,0.0796066182756753
"Chr01_21026590",0,0,0
"Chr01_21349799",0,0,0
"Chr01_23889021",0,0,0
"Chr01_24414059",0,0,0
"Chr01_25607266",0,0,0
"Chr01_27222942",0,0,0
"Chr01_27564548",0,0,0
"Chr01_30257074",0,0,0
"Chr01_30672287",0,0,0
"Chr01_31764287",0,0,0
"Chr01_32679892",0,0,0.147527357055845
"Chr01_32943760",0,0,0
"Chr01_33598848",0,0,0
"Chr01_34764735",0,0,0
"Chr01_35299652",0,0,0
"Chr01_35307373",0,0,0
"Chr01_35851333",0,0,0
"Chr01_36145218",0,0,-0.124397866603191
"Chr01_37080500",0,0,0
"Chr01_37484340",0,0,0
"Chr01_37921117",0,0,0
"Chr01_39283488",0,-0.0121641665111669,0
"Chr01_40970051",0,0,0
"Chr01_43151134",0,0,0
"Chr01_43225309",0,0,0
"Chr01_43905253",0,0,0
"Chr01_44355283",0,-0.00990616469763482,0
"Chr01_45597550",0,0,0
"Chr01_45931540",0,0,0
"Chr01_46675211",0,0,0
"Chr01_47653309",0,0,0
"Chr01_47867666",0,0,0
"Chr01_48455901",0,0.151049160794451,0
"Chr01_48686468",0,-0.256756820626101,0
"Chr01_48778626",0,0,0
"Chr01_48791080",0,0,0
"Chr01_48833196",0,0,0
"Chr01_48835523",0,0,0
"Chr01_48949341",0,0,0
"Chr01_48978006",0,0.169803225985933,0
"Chr01_49247884",0,0,0
"Chr01_49295040",0,0,0
"Chr01_49556063",0,0,0
"Chr01_49599878",0,0,0
"Chr01_49635587",0,0,0
"Chr01_49773049",0,0,0
"Chr01_49775560",0,0,0
"Chr01_49870839",0,0,0
"Chr01_50006257",0,0,0
"Chr01_50074710",0,0,0
"Chr01_50102969",-0.106979332221969,0,0
"Chr01_50111341",0,0,0.018161688122099
"Chr01_50136013",0,0,0
"Chr01_50143577",0,0,0
"Chr01_50205898",0,0,0
"Chr01_50213025",0,0,0
"Chr01_50294917",0.223956346286312,0,0
"Chr01_50298879",0,0,0
"Chr01_50344722",0,0,0
"Chr01_50541079",0,0,0
"Chr01_50641046",-0.159625881365548,0,0
"Chr01_50870511",0,0,0
"Chr01_51049668",0,0,0
"Chr01_51078986",0,0,0
"Chr01_51175986",0,0,0
"Chr01_51180977",0,0.0752721405485989,0
"Chr01_51203252",0,0,0
"Chr01_51222397",0,0,0
"Chr01_51487314",0,0,0
"Chr01_51490279",0,0,0
"Chr01_51615912",0,0,0
"Chr01_51675578",0,0,0
"Chr01_51700992",0,0,0
"Chr01_51702323",0,0,0
"Chr01_51786072",0,0,0
"Chr01_51805446",0,0,0
"Chr01_51934952",0,0,0
"Chr01_51959921",0,0,0
"Chr01_52774289",0,0,0
"Chr01_52820603",0,0,0
"Chr01_52869188",0,0,0
"Chr01_53025166",0,0,0
"Chr01_54257622",0,0,0.346048916366536
"Chr01_54292055",0,0,0
"Chr01_55040733",0,0,0
"Chr01_55194382",0,0,0
"Chr01_55587339",0,0,0
"Chr01_55709593",0,0,0
"Chr01_55754388",0,0,0
"Chr01_55765219",0,0,0
"Chr01_55777514",0,0,0
"Chr01_55863203",0,0,0
"Chr01_55913184",0,0,0
"Chr01_56100876",0,0,0
"Chr01_56477322",0,0,0
"Chr01_56561308",0,0,0
"Chr01_56603301",0,0,0
"Chr01_56613143",0,0,0
"Chr01_56617695",0,0,0
"Chr01_56664522",0,0,0
"Chr02_00000845",0,0,0
"Chr02_00115144",0,0,0
"Chr02_00134699",0,0,0
"Chr02_00138761",0,0,0
"Chr02_00268282",0,0,0
"Chr02_00549511",0,0,0
"Chr02_00675440",0,0,0
